"Year","Game_Type","Week","Date_Time","Favorite","Fav_id","Fav_abv","Underdog","Dog_id","Dog_abv","Line","Total","Fav_Home","Dog_Home","DATE","TIME","DATETIME","Game_id"
2007,"reg","2","9/16 1:00 ET","Pittsburgh",27,"PIT","Buffalo",4,"BUF",-10,39,"Y","N",2007-09-16,"1:00 PM",2007-09-16 13:00:00,"20070916_4_27"
2007,"reg","2","9/16 1:00 ET","Carolina",5,"CAR","Houston",13,"HOU",-6.5,38,"Y","N",2007-09-16,"1:00 PM",2007-09-16 13:00:00,"20070916_5_13"
2007,"reg","2","9/16 1:00 ET","Cincinnati",7,"CIN","Cleveland",8,"CLE",-7.5,41.5,"N","Y",2007-09-16,"1:00 PM",2007-09-16 13:00:00,"20070916_7_8"
2007,"reg","2","9/16 1:00 ET","Indianapolis",14,"IND","Tennessee",31,"TEN",-7,46,"N","Y",2007-09-16,"1:00 PM",2007-09-16 13:00:00,"20070916_14_31"
2007,"reg","2","9/16 1:00 ET","Jacksonville",15,"JAX","Atlanta",2,"ATL",-10.5,34.5,"Y","N",2007-09-16,"1:00 PM",2007-09-16 13:00:00,"20070916_2_15"
2007,"reg","1","9/10 10:15 ET","San Francisco",28,"SF","Arizona",1,"ARI",-3.5,47,"Y","N",2007-09-10,"10:15 PM",2007-09-10 22:15:00,"20070910_1_28"
2007,"reg","1","9/10 7:00 ET","Cincinnati",7,"CIN","Baltimore",3,"BAL",-3,40.5,"Y","N",2007-09-10,"7:00 PM",2007-09-10 19:00:00,"20070910_3_7"
2007,"reg","1","9/9 8:15 ET","Dallas",9,"DAL","NY Giants",23,"NYG",-6.5,45,"Y","N",2007-09-09,"8:15 PM",2007-09-09 20:15:00,"20070909_9_23"
2007,"reg","1","9/9 4:15 ET","Seattle",29,"SEA","Tampa Bay",30,"TB",-6,41,"Y","N",2007-09-09,"4:15 PM",2007-09-09 16:15:00,"20070909_29_30"
2007,"reg","1","9/9 4:15 ET","Oakland",25,"OAK","Detroit",11,"DET",-3,39.5,"Y","N",2007-09-09,"4:15 PM",2007-09-09 16:15:00,"20070909_11_25"
